,Unnamed: 0,address,zip_code,price,sell_date,sell_type,price_per_sqm,no_rooms,housing_type,size_in_sqm,year_of_construction,price_change_in_pct,latitude,longitude,sell_year
1255287,1255287,Tovesvej 20,9000 Aalborg,440000,1992-06-25,Alm. Salg,,6.0,Villa,166.0,1930.0,0.0,57.028609,9.961114,1992
1255288,1255288,Th. Sauers Vej 88,9000 Aalborg,620000,1992-06-25,Alm. Salg,6262.0,5.0,Rækkehus,99.0,1987.0,0.0,,,1992
1255289,1255289,Kirkedalsvej 3,9000 Aalborg,248952,1992-06-25,Fam. Salg,2203.0,4.0,Villa,113.0,1927.0,0.0,57.042516000000006,9.955679,1992
1255290,1255290,Vibevej 20,9000 Aalborg,293556,1992-06-25,Alm. Salg,1649.0,4.0,Villa,178.0,1972.0,0.0,57.028097,9.930729,1992
1255291,1255291,Kong Christians Alle 24,9000 Aalborg,810000,1992-06-25,Alm. Salg,5472.0,5.0,Villa,148.0,1965.0,0.0,57.04625,9.903041,1992
1255292,1255292,Kovshøjsvej 13,9000 Aalborg,785000,1992-06-24,Alm. Salg,5451.0,5.0,Villa,144.0,1927.0,0.0,57.043609,9.957517,1992
1255293,1255293,Nældevej 42,9000 Aalborg,400000,1992-06-22,Alm. Salg,3252.0,4.0,Stuehus,123.0,1992.0,0.0,57.027092,9.807568,1992
1255294,1255294,Østervangsvej 6,9000 Aalborg,633000,1992-06-18,Alm. Salg,6734.0,4.0,Villa,94.0,1925.0,0.0,57.039811,9.959393,1992
1255295,1255295,"Steen Blichers Gade 6, 3. TH",9000 Aalborg,460000,1992-06-17,Alm. Salg,,3.0,Lejlighed,87.0,1914.0,0.0,,,1992
1255296,1255296,Skovtoften 4,9000 Aalborg,795000,1992-06-16,Alm. Salg,4704.0,8.0,Villa,169.0,1963.0,0.0,57.031011,9.896388,1992
1255297,1255297,"Sofievej 98, 1",9000 Aalborg,235000,1992-04-06,Alm. Salg,3357.0,2.0,Lejlighed,70.0,1963.0,0.0,57.029518,9.964292,1992
1255298,1255298,"Poul Paghs Gade 27, ST. TH",9000 Aalborg,335000,1992-02-06,Alm. Salg,5583.0,2.0,Lejlighed,60.0,1910.0,0.0,,,1992
1255299,1255299,Kærbyparken 14,9000 Aalborg,660000,1992-02-06,Alm. Salg,6055.0,4.0,Rækkehus,109.0,1980.0,0.0,57.027678,9.916649,1992
1255300,1255300,Vossvej 15,9000 Aalborg,255000,1992-01-06,Fam. Salg,2475.0,4.0,Rækkehus,103.0,1961.0,0.0,57.041423,9.900038,1992
1255301,1255301,Hasserisvej 249,9000 Aalborg,825000,1992-01-06,Alm. Salg,7710.0,4.0,Rækkehus,107.0,1956.0,0.0,57.034105,9.883733,1992
1255302,1255302,Betavej 3,9000 Aalborg,900000,1992-05-29,Alm. Salg,6081.0,6.0,Villa,148.0,1989.0,0.0,57.046328,9.879056,1992
1255303,1255303,Rafns Alle 3,9000 Aalborg,1550000,1992-05-29,Alm. Salg,5065.0,7.0,Villa,306.0,1911.0,0.0,57.047474,9.90151,1992
1255304,1255304,Nordvestvej 5,9000 Aalborg,325000,1992-05-26,Alm. Salg,1911.0,7.0,Villa,170.0,1930.0,0.0,57.04722,9.895308,1992
1255305,1255305,Kovshøjsvej 18,9000 Aalborg,812500,1992-05-25,Alm. Salg,,8.0,Villa,156.0,1926.0,0.0,57.04344200000001,9.957927,1992
1255306,1255306,Hindbærvej 20,9000 Aalborg,730000,1992-05-24,Alm. Salg,5000.0,5.0,Villa,146.0,1972.0,0.0,57.03464200000001,9.862809,1992
1255307,1255307,Skovbrynet 6,9000 Aalborg,1300000,1992-05-22,Alm. Salg,,4.0,Villa,247.0,1933.0,0.0,57.049184,9.89738,1992
1255308,1255308,Blommevænget 21,9000 Aalborg,742459,1992-05-18,Alm. Salg,4611.0,4.0,Villa,161.0,1971.0,0.0,57.03286800000001,9.863309,1992
1255309,1255309,Ingridsvej 13,9000 Aalborg,800000,1992-08-05,Fam. Salg,4938.0,5.0,Villa,162.0,1933.0,0.0,57.045548,9.88802,1992
1255310,1255310,"Jakob Skomager Vej 6, ST. TV",9000 Aalborg,670750,1992-07-05,Alm. Salg,5732.0,4.0,Lejlighed,117.0,1977.0,0.0,,,1992
1255311,1255311,Kildevældsvej 13,9000 Aalborg,431750,1992-03-05,Fam. Salg,3754.0,4.0,Villa,115.0,1927.0,0.0,57.04321,9.954908,1992
1255312,1255312,Lundsgårdsgade 2A,9000 Aalborg,835000,1992-04-30,Alm. Salg,7660.0,5.0,Villa,109.0,1924.0,0.0,57.038277,9.953422,1992
1255313,1255313,Stolpedalsvej 47,9000 Aalborg,658000,1992-04-30,Alm. Salg,5061.0,6.0,Villa,130.0,1965.0,0.0,57.035137,9.884297,1992
1255314,1255314,Deltavej 28,9000 Aalborg,1027840,1992-04-29,Alm. Salg,7967.0,4.0,Villa,129.0,1991.0,0.0,57.045559,9.870362,1992
1255315,1255315,Kærbyparken 26,9000 Aalborg,610624,1992-04-29,Alm. Salg,5706.0,4.0,Rækkehus,107.0,1980.0,0.0,57.02732,9.916652,1992
1255316,1255316,Valmuemarken 45,9000 Aalborg,645809,1992-04-29,Alm. Salg,,5.0,Villa,136.0,1959.0,0.0,57.02429300000001,9.903325,1992
